actor_id,actor_name,first_event_date,last_event_date,active_week_count,total_event_count,combat_event_count,one_sided_event_count,combatant_fatalities_in_involved_events,actor_deaths_suffered,civilian_fatalities_in_involved_events,one_sided_civilian_fatalities,one_sided_event_share,active_location_count,active_h3_cell_count,events_per_active_week,one_sided_events_per_active_week,civilian_fatalities_per_active_week,eligible_for_web3
ucdp:1005,Ngok Dinka,2023-05-19,2025-06-14,9,12,12,0,12,4,0,0,0.0,5,4,1.3333333333333333,0.0,0.0,True
ucdp:1012,Arab,2023-05-17,2024-12-03,5,5,5,0,133,25,0,0,0.0,4,4,1.0,0.0,0.0,True
ucdp:1025,Misseriya,2023-05-19,2025-06-14,4,5,5,0,12,8,0,0,0.0,3,3,1.25,0.0,0.0,True
ucdp:1080,Hamar,2024-05-24,2024-05-24,1,1,1,0,0,0,0,0,0.0,1,1,1.0,0.0,0.0,False
ucdp:112,Government of Sudan,2023-04-15,2025-12-31,142,1307,1259,48,5072,838,7341,907,0.036725325172149964,211,186,9.204225352112676,0.3380281690140845,51.69718309859155,True
ucdp:1123,SPLM/A-North,2023-05-26,2025-02-03,7,8,8,0,42,42,4,0,0.0,5,4,1.1428571428571428,0.0,0.5714285714285714,True
ucdp:1923,Gimir,2023-06-06,2023-06-06,1,1,1,0,126,101,0,0,0.0,1,1,1.0,0.0,0.0,False
ucdp:1963,Nuba,2023-05-07,2023-10-05,2,3,3,0,10,7,0,0,0.0,2,2,1.5,0.0,0.0,False
ucdp:57,Government of Russia (Soviet Union),2025-09-12,2025-09-14,1,2,0,2,0,0,7,7,1.0,1,1,2.0,2.0,7.0,False
ucdp:607,Fulani,2024-01-24,2024-01-24,1,1,1,0,0,0,0,0,0.0,1,1,1.0,0.0,0.0,False
ucdp:608,Hausa,2023-04-21,2023-05-07,2,2,2,0,0,0,0,0,0.0,2,2,1.0,0.0,0.0,False
ucdp:615,Habaniya,2023-09-29,2023-11-12,4,5,5,0,0,0,0,0,0.0,3,3,1.25,0.0,0.0,True
ucdp:705,Zaghawa,2024-07-18,2024-12-03,2,2,2,0,0,0,0,0,0.0,2,2,1.0,0.0,0.0,False
ucdp:7626,Twic Dinka,2023-08-28,2024-02-04,6,8,8,0,0,0,0,0,0.0,3,2,1.3333333333333333,0.0,0.0,True
ucdp:7962,Hawazma,2023-10-05,2023-10-05,1,2,2,0,10,3,0,0,0.0,1,1,2.0,0.0,0.0,False
ucdp:8068,Funj,2023-04-21,2023-04-21,1,1,1,0,0,0,0,0,0.0,1,1,1.0,0.0,0.0,False
ucdp:8635,RSF,2023-04-15,2025-02-22,98,1139,828,311,1438,1199,8276,4515,0.2730465320456541,246,196,11.622448979591837,3.173469387755102,84.44897959183673,True
ucdp:9645,SFA,2025-02-22,2025-12-31,46,567,424,143,3592,2993,64642,61973,0.25220458553791886,123,114,12.326086956521738,3.108695652173913,1405.2608695652175,True
ucdp:9744,"SLFA, SLM/A",2025-01-15,2025-01-15,1,1,1,0,0,0,0,0,0.0,1,1,1.0,0.0,0.0,False
ucdp:993,Masalit,2023-05-17,2024-01-24,3,3,3,0,7,7,0,0,0.0,2,2,1.0,0.0,0.0,False
ucdp:994,Salamat Baggara,2023-08-04,2024-05-10,10,14,14,0,4,0,0,0,0.0,9,9,1.4,0.0,0.0,True
ucdp:995,Beni Halba Baggara,2023-08-04,2024-05-10,6,9,9,0,4,4,0,0,0.0,6,6,1.5,0.0,0.0,True
