episode_id,actor_id,actor_name,peak_rank,t0_date,peak_metric_value,relative_week,calendar_week,is_observed_week,combat_event_count,combatant_fatalities,actor_deaths_suffered,one_sided_event_count,one_sided_civilian_fatalities,civilian_fatalities,active_location_count
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,-8,2024-08-26,True,10.0,0.0,0.0,0.0,0.0,29.0,9.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,-7,2024-09-02,True,8.0,0.0,0.0,0.0,0.0,26.0,7.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,-6,2024-09-09,True,10.0,84.0,4.0,0.0,0.0,31.0,5.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,-5,2024-09-16,True,13.0,2.0,1.0,0.0,0.0,76.0,7.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,-4,2024-09-23,True,18.0,15.0,12.0,0.0,0.0,26.0,9.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,-3,2024-09-30,True,17.0,21.0,3.0,0.0,0.0,95.0,15.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,-2,2024-10-07,True,15.0,18.0,16.0,0.0,0.0,63.0,9.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,-1,2024-10-14,True,8.0,25.0,1.0,0.0,0.0,51.0,8.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,0,2024-10-21,True,11.0,1.0,1.0,1.0,350.0,394.0,8.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,1,2024-10-28,True,10.0,0.0,0.0,0.0,0.0,67.0,9.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,2,2024-11-04,True,11.0,0.0,0.0,0.0,0.0,57.0,9.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,3,2024-11-11,True,12.0,161.0,6.0,1.0,2.0,13.0,8.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,4,2024-11-18,True,8.0,0.0,0.0,0.0,0.0,25.0,7.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,5,2024-11-25,True,6.0,2.0,0.0,0.0,0.0,13.0,4.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,6,2024-12-02,True,11.0,0.0,0.0,4.0,7.0,81.0,15.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,7,2024-12-09,True,14.0,0.0,0.0,0.0,0.0,139.0,8.0
ucdp-112__2024-10-21,ucdp:112,Government of Sudan,1,2024-10-21,350.0,8,2024-12-16,True,13.0,26.0,1.0,1.0,39.0,72.0,9.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,-8,2024-11-11,True,12.0,161.0,6.0,1.0,2.0,13.0,8.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,-7,2024-11-18,True,8.0,0.0,0.0,0.0,0.0,25.0,7.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,-6,2024-11-25,True,6.0,2.0,0.0,0.0,0.0,13.0,4.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,-5,2024-12-02,True,11.0,0.0,0.0,4.0,7.0,81.0,15.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,-4,2024-12-09,True,14.0,0.0,0.0,0.0,0.0,139.0,8.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,-3,2024-12-16,True,13.0,26.0,1.0,1.0,39.0,72.0,9.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,-2,2024-12-23,True,12.0,11.0,11.0,1.0,2.0,44.0,9.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,-1,2024-12-30,True,14.0,23.0,2.0,2.0,7.0,38.0,9.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,0,2025-01-06,True,13.0,0.0,0.0,7.0,160.0,223.0,15.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,1,2025-01-13,True,14.0,288.0,0.0,3.0,74.0,230.0,10.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,2,2025-01-20,True,9.0,0.0,0.0,1.0,18.0,78.0,6.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,3,2025-01-27,True,17.0,141.0,0.0,3.0,4.0,95.0,12.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,4,2025-02-03,True,9.0,1.0,0.0,1.0,2.0,39.0,9.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,5,2025-02-10,True,4.0,0.0,0.0,0.0,0.0,8.0,3.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,6,2025-02-17,True,14.0,88.0,1.0,2.0,6.0,47.0,11.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,7,2025-02-24,True,8.0,63.0,7.0,0.0,0.0,77.0,7.0
ucdp-112__2025-01-06,ucdp:112,Government of Sudan,2,2025-01-06,160.0,8,2025-03-03,True,9.0,6.0,2.0,0.0,0.0,63.0,6.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,-8,2025-02-10,True,4.0,0.0,0.0,0.0,0.0,8.0,3.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,-7,2025-02-17,True,14.0,88.0,1.0,2.0,6.0,47.0,11.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,-6,2025-02-24,True,8.0,63.0,7.0,0.0,0.0,77.0,7.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,-5,2025-03-03,True,9.0,6.0,2.0,0.0,0.0,63.0,6.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,-4,2025-03-10,True,10.0,8.0,0.0,0.0,0.0,20.0,4.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,-3,2025-03-17,True,8.0,0.0,0.0,0.0,0.0,37.0,6.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,-2,2025-03-24,True,7.0,7.0,7.0,3.0,22.0,387.0,8.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,-1,2025-03-31,True,12.0,25.0,18.0,0.0,0.0,162.0,8.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,0,2025-04-07,True,16.0,10.0,1.0,3.0,98.0,121.0,9.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,1,2025-04-14,True,11.0,55.0,2.0,1.0,1.0,128.0,7.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,2,2025-04-21,True,11.0,74.0,2.0,0.0,0.0,84.0,7.0
ucdp-112__2025-04-07,ucdp:112,Government of Sudan,3,2025-04-07,98.0,3,2025-04-28,True,13.0,221.0,9.0,0.0,0.0,19.0,5.0
