week_start,actor_id,actor_name,h3_id,h3_resolution,h3_center_lat,h3_center_lon,event_count,state_based_event_count,non_state_event_count,one_sided_event_count,combat_event_count,combatant_fatalities,civilian_fatalities,one_sided_civilian_fatalities,best_fatalities,one_sided_event_share,civilian_fatality_share,one_sided_civilian_fatality_share
2023-04-10,__ALL__,All actors,856b02a7fffffff,5,13.45999398207289,22.391256500715567,1,0,0,1,0,0,0,0,0,1.0,0.0,0.0
2023-04-10,__ALL__,All actors,856b0897fffffff,5,13.617096818226427,25.424076053061942,1,1,0,0,1,0,20,0,44,0.0,0.45454545454545453,0.0
2023-04-10,__ALL__,All actors,856b0a0ffffffff,5,12.0101707938044,24.830215921368204,1,1,0,0,1,0,0,0,22,0.0,0.0,0.0
2023-04-10,__ALL__,All actors,856b0e93fffffff,5,13.673401348561217,24.081628252479913,1,1,0,0,1,0,3,0,3,0.0,1.0,0.0
2023-04-10,__ALL__,All actors,856b4287fffffff,5,13.225245724503111,30.152617420328752,1,1,0,0,1,0,6,0,6,0.0,1.0,0.0
2023-04-10,__ALL__,All actors,856b448bfffffff,5,15.012737341499482,30.083281550987248,3,3,0,0,3,0,31,0,510,0.0,0.060784313725490195,0.0
2023-04-10,__ALL__,All actors,856b6e37fffffff,5,15.523006487760396,32.57683706993741,3,3,0,0,3,30,11,0,57,0.0,0.19298245614035087,0.0
2023-04-10,__ALL__,All actors,856b6eaffffffff,5,15.666591746948761,32.5105778563475,3,3,0,0,3,0,14,0,27,0.0,0.5185185185185185,0.0
2023-04-17,__ALL__,All actors,856a65affffffff,5,10.76863327447389,34.72028327781613,1,0,1,0,1,0,0,0,9,0.0,0.0,0.0
2023-04-17,__ALL__,All actors,856b038bfffffff,5,13.443145027750063,22.894568824204516,1,0,0,1,0,0,165,165,165,1.0,1.0,1.0
2023-04-17,__ALL__,All actors,856b4287fffffff,5,13.225245724503111,30.152617420328752,2,2,0,0,2,5,48,0,53,0.0,0.9056603773584906,0.0
2023-04-17,__ALL__,All actors,856b448bfffffff,5,15.012737341499482,30.083281550987248,1,1,0,0,1,0,30,0,30,0.0,1.0,0.0
2023-04-17,__ALL__,All actors,856b6eaffffffff,5,15.666591746948761,32.5105778563475,1,1,0,0,1,0,0,0,12,0.0,0.0,0.0
2023-04-24,__ALL__,All actors,856b02a7fffffff,5,13.45999398207289,22.391256500715567,14,5,0,9,5,1,25,25,6583,0.6428571428571429,0.0037976606410451163,0.0037976606410451163
2023-04-24,__ALL__,All actors,856b6e37fffffff,5,15.523006487760396,32.57683706993741,3,3,0,0,3,0,8,0,24,0.0,0.3333333333333333,0.0
2023-05-01,__ALL__,All actors,856b02a7fffffff,5,13.45999398207289,22.391256500715567,1,1,0,0,1,0,0,0,280,0.0,0.0,0.0
