week_start,actor_id,actor_name,event_count,state_based_event_count,non_state_event_count,one_sided_event_count,combat_event_count,combatant_fatalities,actor_deaths_suffered,civilian_fatalities,one_sided_civilian_fatalities,best_fatalities,low_fatalities,high_fatalities,active_location_count,one_sided_event_share
2023-04-10,__ALL__,All actors,14.0,13.0,0.0,1.0,13.0,30.0,,85.0,0.0,669.0,669.0,1669.0,9.0,0.07142857142857142
2023-04-17,__ALL__,All actors,6.0,4.0,1.0,1.0,5.0,5.0,,243.0,165.0,269.0,269.0,269.0,5.0,0.16666666666666666
2023-04-24,__ALL__,All actors,17.0,8.0,0.0,9.0,8.0,1.0,,33.0,25.0,6607.0,6606.0,11957.0,2.0,0.5294117647058824
2023-05-01,__ALL__,All actors,5.0,4.0,1.0,0.0,5.0,5.0,,4.0,0.0,326.0,326.0,326.0,4.0,0.0
2023-05-08,__ALL__,All actors,4.0,3.0,0.0,1.0,3.0,0.0,,34.0,14.0,514.0,514.0,514.0,1.0,0.25
2023-05-15,__ALL__,All actors,9.0,5.0,2.0,2.0,7.0,8.0,,27.0,2.0,185.0,185.0,187.0,6.0,0.2222222222222222
2023-05-22,__ALL__,All actors,11.0,10.0,0.0,1.0,10.0,23.0,,29.0,28.0,179.0,179.0,184.0,9.0,0.09090909090909091
2023-05-29,__ALL__,All actors,8.0,7.0,0.0,1.0,7.0,0.0,,79.0,20.0,137.0,137.0,137.0,5.0,0.125
2023-06-05,__ALL__,All actors,14.0,8.0,1.0,5.0,9.0,127.0,,122.0,76.0,249.0,240.0,249.0,7.0,0.35714285714285715
2023-06-12,__ALL__,All actors,22.0,12.0,1.0,9.0,13.0,1.0,,647.0,563.0,674.0,674.0,767.0,9.0,0.4090909090909091
2023-06-19,__ALL__,All actors,7.0,7.0,0.0,0.0,7.0,0.0,,67.0,0.0,77.0,77.0,81.0,6.0,0.0
2023-06-26,__ALL__,All actors,5.0,2.0,0.0,3.0,2.0,1.0,,11.0,10.0,12.0,12.0,13.0,4.0,0.6
2023-07-03,__ALL__,All actors,11.0,10.0,0.0,1.0,10.0,4.0,,81.0,3.0,189.0,189.0,191.0,8.0,0.09090909090909091
2023-07-10,__ALL__,All actors,9.0,8.0,0.0,1.0,8.0,2.0,,17.0,1.0,64.0,64.0,67.0,6.0,0.1111111111111111
2023-07-17,__ALL__,All actors,11.0,7.0,0.0,4.0,7.0,21.0,,24.0,4.0,59.0,59.0,60.0,8.0,0.36363636363636365
2023-07-24,__ALL__,All actors,11.0,9.0,0.0,2.0,9.0,2.0,,210.0,201.0,227.0,227.0,256.0,7.0,0.18181818181818182
2023-07-31,__ALL__,All actors,9.0,6.0,2.0,1.0,8.0,32.0,,15.0,1.0,71.0,71.0,71.0,7.0,0.1111111111111111
2023-08-07,__ALL__,All actors,15.0,11.0,2.0,2.0,13.0,32.0,,91.0,5.0,361.0,312.0,381.0,7.0,0.13333333333333333
2023-08-14,__ALL__,All actors,12.0,11.0,0.0,1.0,11.0,47.0,,30.0,10.0,79.0,79.0,82.0,7.0,0.08333333333333333
2023-08-21,__ALL__,All actors,10.0,9.0,0.0,1.0,9.0,1.0,,118.0,2.0,119.0,119.0,119.0,4.0,0.1
2023-08-28,__ALL__,All actors,19.0,15.0,1.0,3.0,16.0,7.0,,110.0,3.0,140.0,140.0,147.0,7.0,0.15789473684210525
2023-09-04,__ALL__,All actors,10.0,9.0,1.0,0.0,10.0,0.0,,42.0,0.0,142.0,142.0,198.0,6.0,0.0
2023-09-11,__ALL__,All actors,13.0,9.0,3.0,1.0,12.0,2.0,,23.0,3.0,129.0,106.0,129.0,7.0,0.07692307692307693
2023-09-18,__ALL__,All actors,15.0,14.0,1.0,0.0,15.0,0.0,,30.0,0.0,49.0,33.0,64.0,7.0,0.0
2023-09-25,__ALL__,All actors,17.0,14.0,2.0,1.0,16.0,4.0,,84.0,24.0,152.0,152.0,153.0,10.0,0.058823529411764705
2023-10-02,__ALL__,All actors,11.0,7.0,2.0,2.0,9.0,12.0,,27.0,2.0,233.0,233.0,233.0,6.0,0.18181818181818182
2023-10-09,__ALL__,All actors,6.0,6.0,0.0,0.0,6.0,1.0,,9.0,0.0,30.0,30.0,90.0,5.0,0.0
2023-10-16,__ALL__,All actors,4.0,2.0,1.0,1.0,3.0,0.0,,4.0,2.0,57.0,57.0,57.0,4.0,0.25
2023-10-23,__ALL__,All actors,13.0,10.0,2.0,1.0,12.0,27.0,,19.0,10.0,195.0,173.0,196.0,9.0,0.07692307692307693
2023-10-30,__ALL__,All actors,17.0,12.0,0.0,5.0,12.0,6.0,,1067.0,1040.0,1842.0,1842.0,2058.0,9.0,0.29411764705882354
2023-11-06,__ALL__,All actors,12.0,8.0,1.0,3.0,9.0,1.0,,145.0,69.0,195.0,195.0,196.0,7.0,0.25
2023-11-13,__ALL__,All actors,1.0,1.0,0.0,0.0,1.0,3.0,,0.0,0.0,7.0,7.0,7.0,1.0,0.0
2023-11-20,__ALL__,All actors,5.0,5.0,0.0,0.0,5.0,0.0,,42.0,0.0,63.0,63.0,63.0,4.0,0.0
2023-11-27,__ALL__,All actors,4.0,3.0,1.0,0.0,4.0,1.0,,8.0,0.0,15.0,15.0,15.0,4.0,0.0
2023-12-04,__ALL__,All actors,5.0,4.0,0.0,1.0,4.0,0.0,,13.0,4.0,18.0,18.0,18.0,5.0,0.2
2023-12-11,__ALL__,All actors,6.0,5.0,0.0,1.0,5.0,2.0,,20.0,13.0,325.0,325.0,326.0,5.0,0.16666666666666666
2023-12-18,__ALL__,All actors,4.0,1.0,0.0,3.0,1.0,0.0,,7.0,5.0,7.0,5.0,8.0,4.0,0.75
2023-12-25,__ALL__,All actors,6.0,2.0,1.0,3.0,3.0,0.0,,40.0,10.0,50.0,50.0,138.0,6.0,0.5
2024-01-01,__ALL__,All actors,13.0,6.0,0.0,7.0,6.0,3.0,,73.0,56.0,81.0,80.0,82.0,11.0,0.5384615384615384
2024-01-08,__ALL__,All actors,14.0,12.0,0.0,2.0,12.0,3.0,,68.0,7.0,77.0,73.0,77.0,11.0,0.14285714285714285
2024-01-15,__ALL__,All actors,5.0,4.0,0.0,1.0,4.0,0.0,,20.0,1.0,43.0,43.0,43.0,5.0,0.2
2024-01-22,__ALL__,All actors,17.0,14.0,3.0,0.0,17.0,6.0,,30.0,0.0,146.0,146.0,150.0,10.0,0.0
2024-01-29,__ALL__,All actors,18.0,3.0,2.0,13.0,5.0,10.0,,69.0,64.0,116.0,54.0,118.0,12.0,0.7222222222222222
2024-02-05,__ALL__,All actors,11.0,3.0,0.0,8.0,3.0,0.0,,94.0,94.0,125.0,125.0,127.0,10.0,0.7272727272727273
2024-02-12,__ALL__,All actors,4.0,0.0,0.0,4.0,0.0,0.0,,65.0,65.0,65.0,65.0,65.0,4.0,1.0
2024-02-19,__ALL__,All actors,8.0,5.0,0.0,3.0,5.0,1.0,,46.0,30.0,59.0,59.0,65.0,7.0,0.375
2024-02-26,__ALL__,All actors,4.0,1.0,0.0,3.0,1.0,0.0,,18.0,17.0,18.0,18.0,19.0,4.0,0.75
2024-03-04,__ALL__,All actors,8.0,3.0,0.0,5.0,3.0,0.0,,23.0,21.0,31.0,30.0,31.0,7.0,0.625
2024-03-11,__ALL__,All actors,8.0,4.0,0.0,4.0,4.0,0.0,,34.0,12.0,39.0,38.0,39.0,7.0,0.5
2024-03-18,__ALL__,All actors,13.0,6.0,0.0,7.0,6.0,27.0,,20.0,11.0,51.0,50.0,52.0,10.0,0.5384615384615384
2024-03-25,__ALL__,All actors,12.0,4.0,0.0,8.0,4.0,36.0,,66.0,54.0,102.0,98.0,102.0,10.0,0.6666666666666666
2024-04-01,__ALL__,All actors,11.0,7.0,0.0,4.0,7.0,0.0,,74.0,67.0,132.0,132.0,135.0,9.0,0.36363636363636365
2024-04-08,__ALL__,All actors,10.0,8.0,0.0,2.0,8.0,0.0,,36.0,17.0,78.0,77.0,79.0,6.0,0.2
2024-04-15,__ALL__,All actors,14.0,10.0,0.0,4.0,10.0,2.0,,73.0,46.0,99.0,99.0,100.0,11.0,0.2857142857142857
2024-04-22,__ALL__,All actors,3.0,2.0,0.0,1.0,2.0,5.0,,8.0,1.0,13.0,13.0,13.0,3.0,0.3333333333333333
2024-04-29,__ALL__,All actors,5.0,3.0,0.0,2.0,3.0,7.0,,24.0,17.0,31.0,31.0,31.0,4.0,0.4
2024-05-06,__ALL__,All actors,20.0,14.0,1.0,5.0,15.0,9.0,,119.0,25.0,212.0,209.0,212.0,12.0,0.25
2024-05-13,__ALL__,All actors,13.0,8.0,0.0,5.0,8.0,1.0,,51.0,26.0,55.0,54.0,56.0,12.0,0.38461538461538464
2024-05-20,__ALL__,All actors,22.0,15.0,1.0,6.0,16.0,22.0,,106.0,30.0,164.0,164.0,183.0,10.0,0.2727272727272727
2024-05-27,__ALL__,All actors,14.0,12.0,0.0,2.0,12.0,25.0,,38.0,2.0,152.0,152.0,152.0,10.0,0.14285714285714285
2024-06-03,__ALL__,All actors,20.0,14.0,0.0,6.0,14.0,8.0,,147.0,15.0,337.0,304.0,390.0,14.0,0.3
2024-06-10,__ALL__,All actors,9.0,6.0,0.0,3.0,6.0,6.0,,64.0,8.0,70.0,70.0,73.0,6.0,0.3333333333333333
2024-06-17,__ALL__,All actors,18.0,14.0,0.0,4.0,14.0,5.0,,159.0,93.0,164.0,152.0,189.0,11.0,0.2222222222222222
2024-06-24,__ALL__,All actors,17.0,15.0,0.0,2.0,15.0,16.0,,88.0,45.0,104.0,104.0,108.0,7.0,0.11764705882352941
2024-07-01,__ALL__,All actors,11.0,9.0,0.0,2.0,9.0,8.0,,42.0,3.0,113.0,113.0,116.0,7.0,0.18181818181818182
2024-07-08,__ALL__,All actors,10.0,7.0,0.0,3.0,7.0,19.0,,44.0,28.0,164.0,63.0,165.0,9.0,0.3
2024-07-15,__ALL__,All actors,7.0,5.0,1.0,1.0,6.0,23.0,,44.0,12.0,70.0,70.0,70.0,6.0,0.14285714285714285
2024-07-22,__ALL__,All actors,14.0,8.0,0.0,6.0,8.0,4.0,,70.0,41.0,112.0,98.0,115.0,9.0,0.42857142857142855
2024-07-29,__ALL__,All actors,12.0,10.0,0.0,2.0,10.0,54.0,,68.0,34.0,164.0,164.0,166.0,8.0,0.16666666666666666
2024-08-05,__ALL__,All actors,16.0,13.0,0.0,3.0,13.0,4.0,,74.0,31.0,90.0,90.0,91.0,9.0,0.1875
2024-08-12,__ALL__,All actors,11.0,6.0,0.0,5.0,6.0,5.0,,139.0,110.0,148.0,148.0,162.0,11.0,0.45454545454545453
2024-08-19,__ALL__,All actors,12.0,8.0,0.0,4.0,8.0,6.0,,43.0,4.0,53.0,53.0,100.0,9.0,0.3333333333333333
2024-08-26,__ALL__,All actors,12.0,10.0,0.0,2.0,10.0,0.0,,33.0,4.0,78.0,73.0,80.0,11.0,0.16666666666666666
2024-09-02,__ALL__,All actors,13.0,8.0,0.0,5.0,8.0,0.0,,31.0,5.0,82.0,82.0,82.0,11.0,0.38461538461538464
2024-09-09,__ALL__,All actors,13.0,10.0,0.0,3.0,10.0,84.0,,73.0,42.0,157.0,77.0,159.0,8.0,0.23076923076923078
2024-09-16,__ALL__,All actors,18.0,13.0,0.0,5.0,13.0,2.0,,90.0,14.0,133.0,133.0,133.0,12.0,0.2777777777777778
2024-09-23,__ALL__,All actors,21.0,18.0,0.0,3.0,18.0,15.0,,29.0,3.0,238.0,238.0,292.0,11.0,0.14285714285714285
2024-09-30,__ALL__,All actors,20.0,17.0,0.0,3.0,17.0,21.0,,137.0,42.0,226.0,225.0,228.0,17.0,0.15
2024-10-07,__ALL__,All actors,22.0,15.0,0.0,7.0,15.0,18.0,,111.0,48.0,208.0,200.0,218.0,16.0,0.3181818181818182
2024-10-14,__ALL__,All actors,12.0,8.0,0.0,4.0,8.0,25.0,,87.0,36.0,146.0,143.0,147.0,11.0,0.3333333333333333
2024-10-21,__ALL__,All actors,20.0,11.0,0.0,9.0,11.0,1.0,,577.0,533.0,733.0,263.0,734.0,15.0,0.45
2024-10-28,__ALL__,All actors,20.0,10.0,0.0,10.0,10.0,0.0,,156.0,89.0,208.0,208.0,209.0,19.0,0.5
2024-11-04,__ALL__,All actors,16.0,11.0,0.0,5.0,11.0,0.0,,74.0,17.0,84.0,84.0,85.0,12.0,0.3125
2024-11-11,__ALL__,All actors,16.0,12.0,0.0,4.0,12.0,161.0,,32.0,21.0,219.0,219.0,219.0,10.0,0.25
2024-11-18,__ALL__,All actors,12.0,8.0,0.0,4.0,8.0,0.0,,85.0,60.0,106.0,106.0,107.0,10.0,0.3333333333333333
2024-11-25,__ALL__,All actors,9.0,6.0,0.0,3.0,6.0,2.0,,142.0,129.0,160.0,40.0,210.0,6.0,0.3333333333333333
2024-12-02,__ALL__,All actors,21.0,11.0,1.0,9.0,12.0,0.0,,128.0,54.0,140.0,140.0,178.0,20.0,0.42857142857142855
2024-12-09,__ALL__,All actors,18.0,14.0,0.0,4.0,14.0,0.0,,157.0,18.0,346.0,346.0,346.0,11.0,0.2222222222222222
2024-12-16,__ALL__,All actors,18.0,13.0,0.0,5.0,13.0,26.0,,128.0,95.0,252.0,165.0,252.0,13.0,0.2777777777777778
2024-12-23,__ALL__,All actors,16.0,12.0,0.0,4.0,12.0,11.0,,48.0,6.0,92.0,92.0,93.0,10.0,0.25
2024-12-30,__ALL__,All actors,21.0,14.0,0.0,7.0,14.0,23.0,,65.0,34.0,258.0,258.0,258.0,14.0,0.3333333333333333
2025-01-06,__ALL__,All actors,22.0,13.0,0.0,9.0,13.0,0.0,,228.0,165.0,500.0,405.0,550.0,16.0,0.4090909090909091
2025-01-13,__ALL__,All actors,24.0,14.0,1.0,9.0,15.0,288.0,,291.0,135.0,753.0,753.0,753.0,15.0,0.375
2025-01-20,__ALL__,All actors,11.0,9.0,0.0,2.0,9.0,0.0,,79.0,19.0,220.0,220.0,220.0,7.0,0.18181818181818182
2025-01-27,__ALL__,All actors,24.0,17.0,0.0,7.0,17.0,141.0,,118.0,27.0,437.0,435.0,437.0,15.0,0.2916666666666667
2025-02-03,__ALL__,All actors,12.0,9.0,0.0,3.0,9.0,1.0,,44.0,7.0,207.0,207.0,207.0,11.0,0.25
2025-02-10,__ALL__,All actors,10.0,4.0,0.0,6.0,4.0,0.0,,229.0,221.0,262.0,262.0,495.0,9.0,0.6
2025-02-17,__ALL__,All actors,19.0,14.0,0.0,5.0,14.0,88.0,,71.0,30.0,164.0,162.0,164.0,12.0,0.2631578947368421
2025-02-24,__ALL__,All actors,11.0,8.0,0.0,3.0,8.0,63.0,,108.0,31.0,177.0,177.0,177.0,8.0,0.2727272727272727
2025-03-03,__ALL__,All actors,11.0,9.0,0.0,2.0,9.0,6.0,,77.0,14.0,123.0,123.0,123.0,8.0,0.18181818181818182
2025-03-10,__ALL__,All actors,14.0,10.0,0.0,4.0,10.0,8.0,,102.0,82.0,126.0,126.0,126.0,6.0,0.2857142857142857
2025-03-17,__ALL__,All actors,14.0,8.0,0.0,6.0,8.0,0.0,,158.0,121.0,174.0,174.0,176.0,11.0,0.42857142857142855
2025-03-24,__ALL__,All actors,12.0,7.0,0.0,5.0,7.0,7.0,,493.0,128.0,506.0,506.0,506.0,10.0,0.4166666666666667
2025-03-31,__ALL__,All actors,15.0,12.0,0.0,3.0,12.0,25.0,,166.0,4.0,241.0,241.0,241.0,10.0,0.2
2025-04-07,__ALL__,All actors,37.0,16.0,0.0,21.0,16.0,10.0,,599.0,576.0,2224.0,2204.0,2230.0,12.0,0.5675675675675675
2025-04-14,__ALL__,All actors,15.0,11.0,0.0,4.0,11.0,55.0,,193.0,66.0,285.0,280.0,483.0,10.0,0.26666666666666666
2025-04-21,__ALL__,All actors,13.0,11.0,0.0,2.0,11.0,74.0,,228.0,144.0,357.0,357.0,357.0,8.0,0.15384615384615385
2025-04-28,__ALL__,All actors,17.0,13.0,0.0,4.0,13.0,221.0,,75.0,56.0,675.0,545.0,676.0,5.0,0.23529411764705882
2025-05-05,__ALL__,All actors,8.0,7.0,0.0,1.0,7.0,0.0,,22.0,6.0,81.0,81.0,81.0,4.0,0.125
2025-05-12,__ALL__,All actors,17.0,12.0,0.0,5.0,12.0,204.0,,91.0,32.0,1099.0,1099.0,1099.0,11.0,0.29411764705882354
2025-05-19,__ALL__,All actors,6.0,4.0,0.0,2.0,4.0,1.0,,6.0,6.0,23.0,23.0,23.0,4.0,0.3333333333333333
2025-05-26,__ALL__,All actors,10.0,10.0,0.0,0.0,10.0,204.0,,76.0,0.0,283.0,275.0,334.0,8.0,0.0
2025-06-02,__ALL__,All actors,4.0,3.0,0.0,1.0,3.0,0.0,,9.0,4.0,29.0,29.0,29.0,3.0,0.25
