actor_id,actor_name,event_count,first_event_date,last_event_date
ucdp:1005,Ngok Dinka,12,2023-05-19,2025-06-14
ucdp:1012,Arab,5,2023-05-17,2024-12-03
ucdp:1025,Misseriya,5,2023-05-19,2025-06-14
ucdp:1080,Hamar,1,2024-05-24,2024-05-24
ucdp:112,Government of Sudan,1307,2023-04-15,2025-12-31
ucdp:1123,SPLM/A-North,8,2023-05-26,2025-02-03
ucdp:1923,Gimir,1,2023-06-06,2023-06-06
ucdp:1963,Nuba,3,2023-05-07,2023-10-05
ucdp:57,Government of Russia (Soviet Union),2,2025-09-12,2025-09-14
ucdp:607,Fulani,1,2024-01-24,2024-01-24
ucdp:608,Hausa,2,2023-04-21,2023-05-07
ucdp:615,Habaniya,5,2023-09-29,2023-11-12
ucdp:705,Zaghawa,2,2024-07-18,2024-12-03
ucdp:7626,Twic Dinka,8,2023-08-28,2024-02-04
ucdp:7962,Hawazma,2,2023-10-05,2023-10-05
ucdp:8068,Funj,1,2023-04-21,2023-04-21
ucdp:8635,RSF,1139,2023-04-15,2025-02-22
ucdp:9645,SFA,567,2025-02-22,2025-12-31
ucdp:9744,"SLFA, SLM/A",1,2025-01-15,2025-01-15
ucdp:993,Masalit,3,2023-05-17,2024-01-24
ucdp:994,Salamat Baggara,14,2023-08-04,2024-05-10
ucdp:995,Beni Halba Baggara,9,2023-08-04,2024-05-10
